"Name","Calls","TotalDurationNs","AverageNs","Percentage"
g_color_to_greyscale(unsigned char*, double*, int, int, int),2,986109,493054,59.839979125073576
void g_transpose<double>(double*, double*, int, int),1,661801,661801,40.160020874926424
